tipo,valor,quantidade,moeda
Compra,20000.0,1135.0737797956867,BNB
Compra,4000.0,23.791114018913937,Ethereum
Venda,20204.313280363225,1135.0737797956867,BNB
Compra,4810.2155,0.5172886577982343,Bitcoin
Venda,4136.323083328378,23.791114018913937,Ethereum
Venda,4972.075121025068,0.5172886577982343,Bitcoin
Compra,5025.124500000001,0.48703921416594786,Bitcoin
Compra,14321.604825,541.8692707150965,BNB
Compra,16231.152135,61.115867666993005,Ethereum
Compra,9738.691499999999,1.0134546901991799,Bitcoin
Compra,8277.887775,371.03934446436574,BNB
Compra,7036.20460875,27.154232049822475,Ethereum
Compra,5980.7745,0.6796102973762259,Bitcoin
Compra,5083.658325,270.9839192430704,BNB
Venda,19798.983366481712,88.27009971681548,Ethereum
Compra,9721.276,0.45528217232884666,Bitcoin
Venda,36179.7558519526,1183.8925344225327,BNB
